example_id,tag,seed,fraction_on_identity,true_label,pred_label,pred_prob
1188204586290561026,cciv2,42,0.08583991265297809,1,1,0.7943745255470276
1393758809622032390,cciv2,42,0.0005442397939563889,0,0,0.1850651055574417
1229832103891595264,cciv2,42,0.055534786339578056,0,0,0.18632690608501434
1125194075316064256,cciv2,42,0.048756785357822734,0,1,0.6111451983451843
1523450483053973504,cciv2,42,0.04370220350538165,0,0,0.27451765537261963
1345256046571495424,cciv2,42,0.12461315656230018,0,0,0.19341816008090973
1236714045341929481,cciv2,42,0.1774373165346376,0,0,0.23382212221622467
1394295651266187265,cciv2,42,0.07338842108460945,0,0,0.33520743250846863
1154438465280516096,cciv2,42,0.036054340320561665,0,0,0.17956912517547607
1619516286312263681,cciv2,42,0.09365486109726845,0,0,0.32297125458717346
1396537342085718017,cciv2,42,0.051074455500194973,0,0,0.19464127719402313
1443682627614093314,cciv2,42,0.037465470215677456,0,0,0.2930961549282074
1465147721724178432,cciv2,42,0.008806115076894942,1,1,0.7879945039749146
1255492458164752387,cciv2,42,0.03570681987084266,0,0,0.22148114442825317
1290986576667869185,cciv2,42,0.16500627822177258,0,0,0.2643875181674957
1514288582332145670,cciv2,42,0.032729477980742765,0,0,0.23224300146102905
1272357521324474368,cciv2,42,0.01743518748322091,0,0,0.16834613680839539
1487252560700481537,cciv2,42,0.13949813919133214,0,0,0.30086156725883484
1273740261621809154,cciv2,42,0.014044673695427879,0,0,0.18365734815597534
1317661755363921920,cciv2,42,0.09547867819738001,0,0,0.20709101855754852
1468405253758406661,cciv2,42,0.0009734236896063833,0,0,0.2263156771659851
1514920455643279365,cciv2,42,0.014155943036018357,0,0,0.18257220089435577
1291784215021805569,cciv2,42,0.1625510798217762,0,0,0.2024257332086563
1357469393727365122,cciv2,42,0.057520845668783294,0,0,0.2380666583776474
1248174910977040385,cciv2,42,0.2709575934043668,0,0,0.20940370857715607
1287073267526897666,cciv2,42,0.10419214175334171,0,0,0.24374373257160187
1116066316874670081,cciv2,42,0.11643569620595089,1,1,0.792227566242218
1296511371367124992,cciv2,42,0.024971346565138147,0,0,0.1692451536655426
1345166234330017792,cciv2,42,0.064853074193547,0,0,0.1719447672367096
1245501628112867328,cciv2,42,0.01403729864806802,0,0,0.1787365823984146
1578931526238343168,cciv2,42,0.027528574419050655,0,0,0.29996246099472046
1286957308447260673,cciv2,42,0.1090997942234169,1,1,0.7759137153625488
1393552840891719685,cciv2,42,0.01222950950824733,0,0,0.18146423995494843
1262815859732611075,cciv2,42,0.11157253755332248,1,1,0.681445837020874
1599404086688092160,cciv2,42,0.12914770696079098,0,0,0.3117940127849579
1648029372983439367,cciv2,42,0.01995210790906989,0,0,0.16854320466518402
1265957010501230593,cciv2,42,0.10078755279509223,0,0,0.2316102385520935
1246464469087256576,cciv2,42,0.03292298964512281,1,0,0.24348647892475128
1211183459105796098,cciv2,42,0.023067987314992332,0,0,0.18095238506793976
1118338313876844544,cciv2,42,0.14775561931237569,0,0,0.17585709691047668
1135216071525511173,cciv2,42,0.11233729021441494,0,0,0.23265457153320312
1527387745693224986,cciv2,42,0.16186908893828691,0,0,0.20228737592697144
1232990916899561473,cciv2,42,0.2623777760687548,1,1,0.7979269027709961
1345987250904068096,cciv2,42,0.09484636904999609,0,0,0.18696387112140656
1546816084149501953,cciv2,42,0.0029883163347138152,0,0,0.18200717866420746
1457806433853005827,cciv2,42,0.014688588214850742,0,0,0.2129182368516922
1402937907342544899,cciv2,42,0.02329645087970002,0,0,0.21891313791275024
1603080434526859264,cciv2,42,0.10921607371223935,0,0,0.2341482937335968
1109748138515054592,cciv2,42,0.08163919809626544,1,1,0.7960790395736694
1488409288750284801,cciv2,42,0.014109465060204827,0,0,0.18682372570037842
1532553712199245827,cciv2,42,0.1438770936086802,0,0,0.3722551167011261
1491463980329570304,cciv2,42,0.02315970381012396,0,0,0.19513194262981415
1611222836924010498,cciv2,42,0.07492121408188039,0,0,0.1964910328388214
1537808851155795975,cciv2,42,0.009656624790813507,0,0,0.21295703947544098
1630179384375263232,cciv2,42,0.03788932636957515,0,0,0.1872885525226593
1393745779857272832,cciv2,42,0.07468044039613882,1,1,0.7762405276298523
1509126359607660551,cciv2,42,0.06505682144093776,0,0,0.186573326587677
1126878156294586368,cciv2,42,0.0020439032945430077,0,0,0.1948816329240799
1225297729506594818,cciv2,42,0.05744143846473351,0,0,0.39074084162712097
1394107831834476547,cciv2,42,0.024636360551613123,0,0,0.30549269914627075
1260269776150159360,cciv2,42,0.20685691999982653,0,0,0.22683392465114594
1488747638602153986,cciv2,42,0.016214513118692632,0,0,0.20056010782718658
1270348242543423488,cciv2,42,0.03131424601994199,0,0,0.22121639549732208
1244176666802479104,cciv2,42,0.04603215816019937,0,0,0.18055176734924316
1539951759405109249,cciv2,42,0.020856577578806282,0,0,0.2408217042684555
1395747592307417092,cciv2,42,0.01784503945327131,0,0,0.3113188147544861
1508152963587579909,cciv2,42,0.07054261352978583,0,0,0.16316677629947662
1224025761092448257,cciv2,42,0.06955253240912991,0,0,0.3459254205226898
1263867135194996737,cciv2,42,0.0031885800886017864,0,0,0.18367405235767365
1577071902572818434,cciv2,42,0.09427795691920436,0,0,0.20981855690479279
1508857749089787912,cciv2,42,0.07047780334763082,0,0,0.17092636227607727
1224373966363512833,cciv2,42,0.015879318297419426,0,0,0.1741245687007904
1103282085832343555,cciv2,42,0.04291543497930324,0,0,0.228051096200943
1109170436078817282,cciv2,42,0.06300730791143071,0,0,0.18852630257606506
1098057857482641408,cciv2,42,0.297757331401749,1,1,0.772312581539154
1261011012100198404,cciv2,42,0.0,1,1,0.7955861687660217
1237111189722640385,cciv2,42,0.013290948282841601,0,0,0.1788853406906128
1115609269838024704,cciv2,42,0.1392573257778144,0,0,0.22280973196029663
1293886666080260097,cciv2,42,0.014761628410498969,0,0,0.18015500903129578
1395833782863814657,cciv2,42,0.0,0,0,0.19650110602378845
1247909286568701958,cciv2,42,0.07691919232104028,0,0,0.1845107078552246
1352044283587489792,cciv2,42,0.028149562707738822,0,0,0.18950439989566803
1258110002906136578,cciv2,42,0.046278191738064994,0,0,0.2170064002275467
1461202741666140161,cciv2,42,0.1493373283704552,0,0,0.21270692348480225
1258017440362979332,cciv2,42,0.04989799788443849,0,0,0.18838314712047577
1393327980387131398,cciv2,42,0.01165483229420133,0,0,0.19987879693508148
1648322447089840140,cciv2,42,0.12913402350011258,0,0,0.275216281414032
1356256969359822851,cciv2,42,0.02456992423691397,0,0,0.19531641900539398
1199437211772575744,cciv2,42,0.05008888826313059,0,0,0.19356520473957062
1345112406326915074,cciv2,42,0.012260627609957348,0,0,0.18108119070529938
1345737420101324806,cciv2,42,0.023962169394127982,0,0,0.1946530044078827
1392990438546710533,cciv2,42,0.08936758052500333,0,0,0.32384970784187317
1451592600918663172,cciv2,42,0.03240211030945248,0,0,0.18076691031455994
1547841356113948674,cciv2,42,0.0,0,0,0.17709465324878693
1313636764506968064,cciv2,42,0.05781393475231487,0,0,0.1838437020778656
1354461395862040576,cciv2,42,0.003352528655068635,0,0,0.17555838823318481
1255336798319972356,cciv2,42,0.021325146520996003,0,0,0.18494847416877747
1346224388128051200,cciv2,42,0.05163828635211956,0,0,0.25050458312034607
1193142802965782528,cciv2,42,0.09820812379843713,1,1,0.7891882658004761
1392146737423290368,cciv2,42,0.1370514867986424,0,0,0.24428442120552063
